Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
145,Picture,Drawing Jesus,(Unknown Title) @ Blue Wall faces,2013,Portugal,"Four distinct faces, each showing an expression of laughter. The faces appear to be from diverse age groups and possibly ethnicities. The color palette is mainly dominated by shades of blue, which contrasts with the splashes of pink colors around the faces.
",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
147,Picture,Alice Pasquini & Uno,Legami,2019,Italy,"Two figures in a seated position, close to each other. Their hands are intertwined. Background consists of a repetitive, ornate pattern in warm orange and yellow tones. There are paper airplanes scattered within the pattern. The figures wear clothing adorned with spots and stripes in various colors.
",https://www.alicepasquini.com/wp-content/uploads/2019/07/favara-alice-uno_161151-med.jpg,Alice Pasquini & Uno,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
148,Picture,Crystal Vielula,Forever Queer ,2012,United States,"Two anthropomorphic bird-like figures stand side by side against a white brick wall. Above them is a banner inscribed with the word ""Forever"" and below that ""Queer."" One figure holds flowers in their hand, while the other wears a baseball cap with the letters ""SF."" Both figures have distinct tattoos; one has ""Tweety"" written on the arm and the other displays ""So Hara."" Dominant colors include white for the background, various shades of blue for the bird figures, and accent colors like green, pink, orange, and black for details.",https://www.crystalvielula.com/uploads/1/5/4/4/15441928/7022903_orig.jpg,Crystal Vielula,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
149,Picture,Mabel Vicentef,(Unknown Title),2022,Argentina,"A large black and orange bird perched atop giant, brightly colored oranges and a single lime. These fruits appear to overlap the structure of a green building, where windows, vents, and other architectural details emerge from the fruits. There are also large green leaves connected to the fruits. The dominant colors are green, orange, black, and hints of red.",https://images.squarespace-cdn.com/content/v1/55328775e4b0fc1dd6767c74/1666047379148-7ECXCMME1WCSPFPPD4I1/DSC01525+copy.jpg?format=2500w,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
151,Picture,Drawing Jesus,(Untitle) @ Blue Wall faces,2013,Portugal,"Two side profiles of faces. On the left, a blue-toned face appears to be screaming or shouting, with hair or a form of energy flowing backward. On the right, there's a face, colored in shades of red, with an eye in focus and a tranquil expression. This red face seems to be dripping or melting, with lines resembling blood or paint running down the face. Dominant colors include shades of blue and red. There's also a touch of black, white, and orange in the details.",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
155,Picture,Robô,Gente Memória,2015,Portugal,"Workers against a backdrop of a red building with the word ""LISNAVE."" A person pouring liquid into a container, and a group of workers collaborating on a task. The Portuguese words ""GENTE,"" (People), ""MEMÓRIA"" (Memory), ""ARTE"" (Art), ""ALMA"" (Soul), ""ESPERANÇA"" (hope) and ""FUTURO"" (Future) are integrated. Dominant colors are black, white, shades of gray and the red in the background.",Patrícia Arriaga,(https://www.instagram.com/therobotone/) (https://www.facebook.com/robostreetart/),,,,,,,,,,,,,,,,,,,,,,,,,,2.75
156,Picture,(Unknown),Seeds of Revolution,(Unknown),Portugal,"A person, with their back turned, is depicted releasing a heart from a basket. Various flora and abstract designs. Other hearts and lips are scattered throughout the scene. A sign reads ""seeds of REVOLUTION"" in the lower center. Dominant colors are black for the designs, pops of red and pink for the hearts and lips, with a splash of yellow for one of the hearts. Background white.",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
158,Picture,WOSKerski,Don't feed the cancer,2016,United Kingdom,"A cartoonish blue creature with facial features. Beside the creature is a sign that reads ""DON'T FEED THE CANCER"", and below are multiple cigarette butts. Dominant colors: blue for the creature, white for the sign's background, and red for the lettering. The cigarette butts are painted in browns and tans. (Note: The artwork was created as part of the #do1cancer campaign to increase awareness and fundraise for the Colchester Hospitals Charity).","https://static.wixstatic.com/media/9f48dd_84d2af5646e54bdda870177be697496f~mv2_d_2048_1536_s_2.jpg/v1/fill/w_1559,h_1169,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/9f48dd_84d2af5646e54bdda870177be697496f~mv2_d_2048_1536_s_2.jpg
https://www.woskerski.com/monster
",,,,,,,,,,,,,,,,,,,,,,,,,,,3.22
159,Picture,WOSKerski,Scream,2016,United Kingdom,"Close-up portrayal of a person's face, seemingly shouting. The facial features are detailed, with open mouth, sharp teeth, flared nostrils, and eyes. Color palette, primarily composed of skin tones, ranging from light to dark shades. The background is a muted gray.","https://static.wixstatic.com/media/9f48dd_808fe4019fc243f59da9a5aea67cb9bb~mv2.jpg/v1/fill/w_925,h_1035,al_c,q_85,enc_auto/9f48dd_808fe4019fc243f59da9a5aea67cb9bb~mv2.jpg
https://www.woskerski.com/scream",,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
160,Picture,Dante,Portrait of an old woman,2022,Germany,"An older person sitting in an intimate setting resembling a living space. Beside them, there's a wall showcasing various artwork, including paintings of figures. The room contains other elements like a plant, a table, a chair, and what appears to be an old-fashioned television. The person's clothing is adorned with intricate patterns. Color palette is relatively muted, with the dominant colors being browns, grays, and the whites and reds of the person's outfit. There are splashes of color on the wall and the green of the plant.
",https://www.instagram.com/p/ChwwwmmoR8l/,Dante,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
161,Picture,Mabel Vicentef,La Cosecha de Judías Verdes,2022,Argentina,"Hands cradling a detailed, picturesque landscape, complete with a body of water, mountains, a setting (or rising) sun, birds, and lush greenery. The artwork incorporates a real tree growing at the base of the building, making it appear as if the tree is an extension of the mural itself. The hands seem to be protecting the contained environment. The dominant colors include various shades of pink and skin tones for the hands. The landscape within the hands include blues for the water, deep greens for the vegetation, yellow for the sun, and muted browns and blues for the mountains. 
",https://images.squarespace-cdn.com/content/v1/55328775e4b0fc1dd6767c74/1672684445043-193MMISO4L1YGOUD42XG/IMG-9887.jpg?format=1500w,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
162,Picture,Utopia,(Unknown Title),2015,Portugal,"Two young girls, one with dark skin and the other with light skin. Their faces merge in the center. Their hair is blue. The color palette contrasts warm earthy tones, representing the dark-skinned girl, with cooler pastel shades for the light-skinned girl. The point where the two profiles meet is a gradient blending the two color palettes.",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
163,Picture,Dadospuntocero (Da2),Tetra Fish,2020,Spain,"A designed fish composed of various plastic waste items such as bottles, wrappers, and bags. This fish appears to be swimming upwards towards a cluster of bubbles. The primary colors are green, white, blue, and grey, with hints of brown.",https://www.facebook.com/dados.cero/photos/pb.100057112073915.-2207520000./1373700772814597/?type=3,Dadospuntocero (Da2),,,,,,,,,,,,,,,,,,,,,,,,,,2.42
167,Picture,Darion Fleming & Montana Colors,Dreamer,2021,United States,"To the right, a person is spraying or drawing using a can, a child-like representation of a rocket with a dog inside it. Above the rocket, there's a crescent moon and several stars. Predominant colors include white (for the building), blue (for the rocket), yellow (for the moon and stars), and red (for the girl's outfit).",https://www.daflemingoart.com/dreamer,Darion Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
168,Picture,Tamara Alves & Fidel Évora,DESERT FLOWER,2014,Portugal,"Two primary figures – a slender, androgynous human form with their head turned to the side, and a large tiger, roaring amidst foliage. The human figure is depicted in grayscale with pronounced black outlines, while the tiger and foliage boast shades of red and purple. Predominant colors include grayscale for the human figure, and red, purple, and black for the tiger and foliage.
",https://www.facebook.com/photo/?fbid=900476496734946&set=pb.100058282830412.-2207520000.,Tamara Alves,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
171,Picture,Mariana Duarte Santos,A Mercearia (baseado numa foto de Artur Pastor),2021,Portugal,"A storefront of a vendor's stall. An array of hanging foods or herbs in the store's entrance. Within the store's shade, a person is captured attending to goods, with a sign displaying prices next to them. Predominantly grayscale tones.",https://www.instagram.com/p/CZzaCExsC6n/,Bruno Cunha,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
172,Picture,NEVERCREW, Close up, 2020,Switzerland,"A collection of aquatic animals, predominantly whales, intertwined and layered. The animals seem to be trapped or encapsulated within a transparent cube filled with water. One whale at the bottom displays red stripes, which resemble tape or bindings. The predominant colors are varying shades of blue and gray representing the aquatic environment. There are splashes of red on the whale at the bottom.",https://www.instagram.com/p/CDtYIYsp35l/,NEVERCREW,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
174,Picture,Tinta Crua,(Unknown Title) @ Blue Wall faces,2013,Portugal,"A figure that appears skeletal with an elongated face and bright orange eye. It leans forward. The figure is draped in what seems to be a cloak or garment with black and red patterns. Above the figure, a bird holds a banner in its beak with a phrase in Portuguese: ""NÃO HÁ MACHADO QUE CORTE A RAIZ AO PENSAMENTO"" (translates to: ""THERE IS NO AXE THAT CAN CUT THE ROOT OF THOUGHT""). Primary colors are blue, white, black, and red. The bright blue background contrasts with the figure's white face and red cloak.
",Patrícia Arriaga,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
175,Picture,Robot,(Unknown Title) @ Blue Wall Faces,2012,Portugal,"An elderly person juxtaposed a dark blue backdrop featuring a silhouette of trees and a night sky. The person appears contemplative, with a detailed portrayal of their wrinkles, eyes, and headwear. Dominant colors: blues, white, and grayscale for the portrayal of the man.",Patrícia Arriaga,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
176,Picture,Nark,The Look,2021,Portugal,"A human eye, within which there's a detailed reflection of the Earth with a strong emphasis on the African continent. The eye is surrounded by a dynamic array of colors that intermingle in abstract patterns. Prominent hues of blue, yellow, red, purple, and green.",https://www.instagram.com/p/CVQt1tRjFRt/,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,3.02
177,Picture,Alexandre Keto,(Unknown Title),2018,Brazil,"A side profile of a person with their eyes closed. They appears serene as they extends their hand towards a bird with a striking red crest, which is about to perch on their fingers. On the left, a large wing belonging to the woman. Surrounding the figures are leaves and smaller birds, all set against a pale sky backdrop. Dominant colors are soft blues of the sky, earthy tones in the person's skin and hair, whites and grays of the large wing, and the green leaves. A hint of red in the bird's crest.",https://www.alexandreketo.com/murals?pgid=k6i6r6hl-b89cbcdf-92ba-48ac-8067-f46fb2b129b5&lang=en,Alexandre Keto,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
178,Picture,Alice Pasquini & Uno,Off the page,2021,Italy,"A person (possibly a girl, although the face is not displayed) is sitting down with a book open in their lap. They hold a second book in their other hand. The person has long, dark hair, and is wearing a short-sleeved light green shirt and a maroon skirt. They are holding a book in one hand, and the book is open to a page. The background features a vibrant pink pattern with green plant-like shapes interspersed throughout. Several white sheets of paper seem to be floating in the air around them, suggesting breeze. In the foreground, there are several chairs and tables arranged as if in an outdoor café or garden setting. A circular window is set within the patterned wall, providing a glimpse into a dimly lit space. Dominant colors: earthy tones – browns, grays, and greens – with the red and white patterned wall.
",http://www.idontcareaboutuno.com/wp-content/uploads/2019/07/Vimercate-20190627_192652-rit-Med-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38
